"Title","ID","Created Date","Updated Date","Owner","scholarshipCode","universityCode","courseCode","scholarshipType","amountOrBenefit","eligibilityCriteria","applicableIntake","deadline","notes"
"Trial/Forecast Results Scholarship","118ef13b-9f06-4fe5-bf2f-a25cb68bb1f1",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TRIAL_FORECAST_RESULTS_SCHOL_COMPUTER_SCIENCE_F","UOSM","UOSM_COMPUTER_SCIENCE_FOUNDATION_YEAR","Foundation scholarship","Up to 100% scholarship","Uses O-Level trial/forecast results; limited time offer, terms and conditions apply.",,,"Official page does not publish a full tier table in the text snippet."
"High Achiever Scholarship (STPM)","133946bb-fcf0-47c0-8c01-5b0cac24f35a",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_MENG_MECHANICAL_EN","UOSM","UOSM_MENG_MECHANICAL_ENGINEERING","Merit scholarship","Engineering: RM 13,000; Other Programmes: RM 10,000","STPM graduates: requirement AAA- for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for STPM graduates."
"Exceptional Achiever Scholarship (STPM)","15b0fea1-8481-41ec-b587-9c21049cc249",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_EXCEPTIONAL_ACHIEVER_SCHOLAR_BSC_BUSINESS_ENTRE","UOSM","UOSM_BSC_BUSINESS_ENTREPRENEURSHIP","Merit scholarship","RM 25,000","STPM graduates: requirement AA-A- for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for STPM graduates."
"Top Achiever Scholarship (STPM)","18c35e97-9649-47e2-bf48-29c21aea14b1",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BSC_ACCOUNTING_AND","UOSM","UOSM_BSC_ACCOUNTING_AND_FINANCE","Merit scholarship","60% (Year 1) + 20% (Year 2 & 3)","STPM graduates: requirement AAA- for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for STPM graduates."
"Exceptional Achiever Scholarship (A Levels)","194bf2ff-622e-4360-a768-2997da703931",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_EXCEPTIONAL_ACHIEVER_SCHOLAR_COMPUTER_SCIENCE_F_2","UOSM","UOSM_COMPUTER_SCIENCE_FOUNDATION_YEAR","Merit scholarship","Engineering: RM 30,000; Other Programmes: RM 25,000","A Levels graduates: requirement A*A*A* for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for A Levels graduates."
"Top Achiever Scholarship (A Levels)","1ada5a32-0d41-4322-9abb-bca60b7d4674",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_MENG_ELECTRICAL_AN_2","UOSM","UOSM_MENG_ELECTRICAL_AND_ELECTRONIC_ENGINEERING","Merit scholarship","Engineering: 60% (Year 1) + 40% (Year 2); Other Programmes: 60% (Year 1) + 20% (Year 2 & 3)","A Levels graduates: requirement A*A*A*A for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for A Levels graduates."
"Top Achiever Scholarship (UEC)","1c1693cc-44b7-41ad-b84b-22fbf41ea14b",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BSC_BUSINESS_MANAG_3","UOSM","UOSM_BSC_BUSINESS_MANAGEMENT","Merit scholarship","60% (Year 1) + 20% (Year 2 & 3)","UEC graduates: requirement 4A1 for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for UEC graduates."
"Top Achiever Scholarship (A Levels)","1e44ef73-733a-442e-9f04-8075c5f774cb",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BSC_MARKETING_2","UOSM","UOSM_BSC_MARKETING","Merit scholarship","60% (Year 1) + 20% (Year 2 & 3)","A Levels graduates: requirement A*A*A for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for A Levels graduates."
"Top Achiever Scholarship (A Levels)","1e4993e5-20b0-42f1-8cdf-8ae922b79f55",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BUSINESS_FOUNDATIO_2","UOSM","UOSM_BUSINESS_FOUNDATION_YEAR","Merit scholarship","60% (Year 1) + 20% (Year 2 & 3)","A Levels graduates: requirement A*A*A for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for A Levels graduates."
"High Achiever Scholarship (Engineering/Computer Science Foundation)","1ecdef7a-378c-45cb-b6ef-eb735e8efcf7",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_ENGINEERING_FOUNDA_10","UOSM","UOSM_ENGINEERING_FOUNDATION_YEAR","Foundation scholarship","RM 2,500","1A to 4As in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
"High Achiever Scholarship (A Levels)","2084721c-e2b2-4da3-ad44-223ba8b6b5ee",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BSC_ACCOUNTING_AND_2","UOSM","UOSM_BSC_ACCOUNTING_AND_FINANCE","Merit scholarship","RM 10,000","A Levels graduates: requirement AAA for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for A Levels graduates."
"Exceptional Achiever Scholarship (A Levels)","21685e14-18ea-4bf8-b740-8788e746d82c",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_EXCEPTIONAL_ACHIEVER_SCHOLAR_BSC_FINANCE_AND_FI_2","UOSM","UOSM_BSC_FINANCE_AND_FINANCIAL_TECHNOLOGY","Merit scholarship","RM 25,000","A Levels graduates: requirement A*AA for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for A Levels graduates."
"Exceptional Achiever Scholarship (STPM)","23a51a06-f8e2-436a-b0ab-200b3c2ef703",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_EXCEPTIONAL_ACHIEVER_SCHOLAR_BSC_COMPUTER_SCIEN","UOSM","UOSM_BSC_COMPUTER_SCIENCE","Merit scholarship","Engineering: RM 30,000; Other Programmes: RM 25,000","STPM graduates: requirement AAA for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for STPM graduates."
"Exceptional Achiever Scholarship (UEC)","2481f491-14e7-419a-93c4-2d5e69847a00",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_EXCEPTIONAL_ACHIEVER_SCHOLAR_BSC_BUSINESS_ENTRE_3","UOSM","UOSM_BSC_BUSINESS_ENTREPRENEURSHIP","Merit scholarship","RM 25,000","UEC graduates: requirement 3A1 for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for UEC graduates."
"Academic Excellence Progression Scholarship","24c6d9aa-99b1-4026-a0ad-83cf0cb3b53c",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_ACADEMIC_EXCELLENCE_PROGRESS_BSC_BUSINESS_MANAG","UOSM","UOSM_BSC_BUSINESS_MANAGEMENT","Progression scholarship","Up to 100% tuition fee waiver","Only students with a minimum average score of 80% in UoSM Foundation results are eligible.",,,"For top performing UoSM Foundation students."
"High Achiever Scholarship (Engineering/Computer Science Foundation)","2832a013-171e-412d-a282-bdd2721cee68",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_COMPUTER_SCIENCE_F_6","UOSM","UOSM_COMPUTER_SCIENCE_FOUNDATION_YEAR","Foundation scholarship","RM 8,000","8As or 5A+ / A* in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
"High Achiever Scholarship (UEC)","28e72447-6285-4a5f-a1df-f49101d1de8a",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BSC_BUSINESS_ENTRE_3","UOSM","UOSM_BSC_BUSINESS_ENTREPRENEURSHIP","Merit scholarship","RM 10,000","UEC graduates: requirement 2A1 for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for UEC graduates."
"Top Achiever Scholarship (STPM)","2a90e892-5d8c-4717-85a4-133e4bb10c01",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_MENG_MECHANICAL_EN","UOSM","UOSM_MENG_MECHANICAL_ENGINEERING","Merit scholarship","Engineering: 60% (Year 1) + 40% (Year 2); Other Programmes: 60% (Year 1) + 20% (Year 2 & 3)","STPM graduates: requirement AAAA- for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for STPM graduates."
"100% Fee Waiver","2aa1ee75-85bc-4878-b28d-fa0bbb614faa",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","NUMED_100_FEE_WAIVER_BSC_BIOMEDICAL_SCI","NUMED","NUMED_BSC_BIOMEDICAL_SCIENCES","Fee waiver","100% fee waiver","Requires 8As in SPM/IGCSE (including core sciences/math) and a 4.00 CGPA in the NUMed Foundation year.","2026 intake context mentioned",,"Waiver is calculated based on Foundation fees and deducted from the degree’s first-year tuition."
"PTPTN Loan","2b4601c7-7eb6-4f71-b1f6-0ea86277295f",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","NUMED_PTPTN_LOAN","NUMED",,"External funding / loan",,"Available for eligible local students.",,,"External funding option mentioned in document."
"High Achiever Scholarship (Business Foundation)","2df0befc-0489-4c0d-8ab4-e07353d75cab",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BUSINESS_FOUNDATIO_4","UOSM","UOSM_BUSINESS_FOUNDATION_YEAR","Foundation scholarship","RM 13,000","9As or 5A+ / A* in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
"High Achiever Scholarship (Engineering/Computer Science Foundation)","2e3955e9-85ea-43c9-88fb-e94438f802a2",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_ENGINEERING_FOUNDA_8","UOSM","UOSM_ENGINEERING_FOUNDATION_YEAR","Foundation scholarship","RM 6,000","6As or 4A+ / A* in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
"Top Achiever Scholarship (UEC)","30abdceb-26a3-4072-bcbf-31ab3302f242",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BSC_COMPUTER_SCIEN_3","UOSM","UOSM_BSC_COMPUTER_SCIENCE","Merit scholarship","Engineering: 60% (Year 1) + 40% (Year 2); Other Programmes: 60% (Year 1) + 20% (Year 2 & 3)","UEC graduates: requirement 5A1 for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for UEC graduates."
"Top Achiever Scholarship (STPM)","3313578a-0264-4f80-833f-1f8b142d2eff",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BSC_COMPUTER_SCIEN","UOSM","UOSM_BSC_COMPUTER_SCIENCE","Merit scholarship","Engineering: 60% (Year 1) + 40% (Year 2); Other Programmes: 60% (Year 1) + 20% (Year 2 & 3)","STPM graduates: requirement AAAA- for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for STPM graduates."
"Exceptional Achiever Scholarship (A Levels)","33e856bc-ee44-49d2-a6ad-0cacaf003a25",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_EXCEPTIONAL_ACHIEVER_SCHOLAR_MENG_AERONAUTICS_A_2","UOSM","UOSM_MENG_AERONAUTICS_AND_ASTRONAUTICS","Merit scholarship","Engineering: RM 30,000; Other Programmes: RM 25,000","A Levels graduates: requirement A*A*A* for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for A Levels graduates."
"High Achiever Scholarship (STPM)","349a2c51-7016-45cc-9078-4e7f52767d1d",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BSC_BUSINESS_MANAG","UOSM","UOSM_BSC_BUSINESS_MANAGEMENT","Merit scholarship","RM 10,000","STPM graduates: requirement A-A-A- for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for STPM graduates."
"Academic Excellence Progression Scholarship","349efc03-bc7e-47d9-8f7d-08cbbce601d7",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_ACADEMIC_EXCELLENCE_PROGRESS_BSC_MARKETING","UOSM","UOSM_BSC_MARKETING","Progression scholarship","Up to 100% tuition fee waiver","Only students with a minimum average score of 80% in UoSM Foundation results are eligible.",,,"For top performing UoSM Foundation students."
"Special UEC Grant - Undergraduate","36c48a9f-f359-4727-8548-ef67b22430ba",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_SPECIAL_UEC_GRANT_UNDERGRADU_MENG_MECHANICAL_EN","UOSM","UOSM_MENG_MECHANICAL_ENGINEERING","UEC grant","Up to RM 7,000","Eligible UEC graduates who accept and pay deposit before intake.",,,"Cannot be compounded with scholarship/education grant; highest amount only applies."
"High Achiever Scholarship (Engineering/Computer Science Foundation)","36ce3904-e3c6-47df-9980-4362a73ac35a",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_ENGINEERING_FOUNDA_4","UOSM","UOSM_ENGINEERING_FOUNDATION_YEAR","Foundation scholarship","RM 13,000","10As or 7A+ / A* in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
"Alumni Discount","374ee97a-c397-4384-b53d-64aacc461743",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","NUMED_ALUMNI_DISCOUNT","NUMED",,"Tuition discount","20% off tuition fees","For Newcastle University graduates returning for further study.",,,"Applies to returning graduates."
"High Achiever Scholarship (A Levels)","382e6bef-c256-4b8d-9306-6fdb2829466c",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BSC_COMPUTER_SCIEN_2","UOSM","UOSM_BSC_COMPUTER_SCIENCE","Merit scholarship","Engineering: RM 13,000; Other Programmes: RM 10,000","A Levels graduates: requirement A*A*A for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for A Levels graduates."
"Exceptional Achiever Scholarship (UEC)","3a2cd5ab-fe99-4c38-8148-d3662e6373c2",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_EXCEPTIONAL_ACHIEVER_SCHOLAR_MENG_MECHANICAL_EN_3","UOSM","UOSM_MENG_MECHANICAL_ENGINEERING","Merit scholarship","Engineering: RM 30,000; Other Programmes: RM 25,000","UEC graduates: requirement 4A1 for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for UEC graduates."
"High Achiever Scholarship (Engineering/Computer Science Foundation)","3afda18a-a073-40df-b1c1-7e63f8412c22",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_COMPUTER_SCIENCE_F_7","UOSM","UOSM_COMPUTER_SCIENCE_FOUNDATION_YEAR","Foundation scholarship","RM 7,000","7As in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
"High Achiever Scholarship (UEC)","3b8d83a0-e971-47d6-82cc-d24ba527d059",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BSC_BUSINESS_MANAG_3","UOSM","UOSM_BSC_BUSINESS_MANAGEMENT","Merit scholarship","RM 10,000","UEC graduates: requirement 2A1 for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for UEC graduates."
"Top Achiever Scholarship (Engineering/Computer Science Foundation)","3bea67c4-f64c-492d-bb22-711fd707579b",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_COMPUTER_SCIENCE_F_4","UOSM","UOSM_COMPUTER_SCIENCE_FOUNDATION_YEAR","Foundation scholarship","100%","8A+ / A* in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
